Feature,Rank
Flow IAT Max,0.3963170210657905
Flow Duration,0.3917945777416423
Flow IAT Mean,0.3853681861093414
Flow Packets/s,0.3808960708783522
Fwd Packets/s,0.3775030566351061
Bwd Packets/s,0.35761851321010374
Flow IAT Min,0.3576133357316027
Flow Bytes/s,0.3445162611734298
Average Packet Size,0.33280653044348396
Packet Length Mean,0.3290577604122884
Packet Length Max,0.32541428888979707
Packet Length Std,0.30781099108332755
Packet Length Variance,0.3050315024718633
Bwd Segment Size Avg,0.2935202812720501
Bwd Packet Length Mean,0.2932191260404762
Total Length of Fwd Packet,0.29248331621109447
Bwd Packet Length Max,0.29161676241426515
Total Length of Bwd Packet,0.2896730516261745
Fwd Packet Length Max,0.2803021964058201
Fwd Header Length,0.276094028625548
Fwd Segment Size Avg,0.2741618684345841
Fwd Packet Length Mean,0.27393224992094733
Fwd IAT Max,0.2552131801255837
Bwd Header Length,0.2512922432954918
Subflow Bwd Bytes,0.2493951721002141
Fwd IAT Total,0.24916972583006625
Bwd Packet Length Min,0.24576801313553576
Fwd IAT Mean,0.24035770556601332
Idle Max,0.23511532086441056
Idle Mean,0.228179341809849
Fwd IAT Min,0.22631809623945842
Fwd Packet Length Min,0.21746108496014638
Idle Min,0.2140750680857726
Packet Length Min,0.20400763440169523
Subflow Fwd Bytes,0.1861989993744828
FWD Init Win Bytes,0.16802526568624798
Total Bwd packets,0.16453168664020623
Total Fwd Packet,0.16055426541413054
Bwd Init Win Bytes,0.1288110204150119
Fwd Act Data Pkts,0.12077421340102679
Flow IAT Std,0.11830511259769239
Fwd Seg Size Min,0.1104907323953086
Fwd IAT Std,0.09131807051204621
Down/Up Ratio,0.09116506120866141
Fwd Packet Length Std,0.07722826198768296
Bwd IAT Max,0.07452913928701377
Bwd IAT Mean,0.06318009588091655
Bwd IAT Total,0.06162589712473854
ACK Flag Count,0.058673423363911015
Idle Std,0.053601966419821956
Bwd IAT Min,0.0520944505251002
Bwd Packet Length Std,0.0447002980747393
Bwd IAT Std,0.04280007069303782
Protocol,0.04174680359289806
Bwd Bulk Rate Avg,0.02818119929703733
PSH Flag Count,0.022458091892624932
Bwd Packet/Bulk Avg,0.01335468308667398
SYN Flag Count,0.01198639248485267
