Feature,Rank
Bwd Packet Length Min,1
Bwd Packet Length Mean,1
Flow Packets/s,1
Flow IAT Mean,1
Flow IAT Max,1
Flow IAT Min,1
Fwd Header Length,1
Bwd Packets/s,1
Bwd Segment Size Avg,1
Subflow Bwd Bytes,1
FWD Init Win Bytes,1
Fwd Seg Size Min,1
Idle Mean,1
Idle Max,1
Idle Min,1
Total Length of Bwd Packet,2
Fwd IAT Mean,2
Fwd Packets/s,2
Bwd Packet Length Max,3
Flow Bytes/s,3
Fwd IAT Total,3
Packet Length Max,3
Bwd Init Win Bytes,3
Flow Duration,4
Fwd IAT Max,4
Packet Length Mean,4
Packet Length Std,4
Average Packet Size,4
Total Fwd Packet,5
Total Length of Fwd Packet,5
Flow IAT Std,5
Bwd Header Length,5
Packet Length Min,5
Fwd Packet Length Min,6
Fwd Packet Length Mean,6
Packet Length Variance,6
ACK Flag Count,6
Fwd Segment Size Avg,6
Total Bwd packets,7
Fwd Packet Length Max,7
Bwd Packet Length Std,7
Fwd IAT Min,7
Subflow Fwd Bytes,7
Fwd Packet Length Std,8
Bwd IAT Mean,8
Bwd IAT Max,8
PSH Flag Count,8
Fwd Act Data Pkts,8
Fwd IAT Std,9
Bwd IAT Total,9
Bwd IAT Std,9
Bwd IAT Min,9
Idle Std,9
Protocol,10
SYN Flag Count,10
Down/Up Ratio,10
Bwd Packet/Bulk Avg,10
Bwd Bulk Rate Avg,10
