Feature,Rank
Flow IAT Min,0.050913452016022626
Idle Max,0.05067554463413003
Bwd Packet Length Min,0.04767767190114475
Fwd Seg Size Min,0.04732022571820339
Flow IAT Mean,0.04694593679131599
Bwd Segment Size Avg,0.044500085509607004
Subflow Bwd Bytes,0.042434341888556285
Flow Packets/s,0.03779958842154316
Bwd Packet Length Mean,0.03730835489883655
Idle Mean,0.034535572147372545
Fwd Header Length,0.034262930534725525
Flow IAT Max,0.03347045557759134
Bwd Packets/s,0.03290352384159316
Flow Bytes/s,0.029786450223793493
Fwd Packets/s,0.029750183474248477
Idle Min,0.029679966427625586
Bwd Packet Length Max,0.02939969543332853
FWD Init Win Bytes,0.024206343645979973
Total Length of Bwd Packet,0.022288469249402296
Bwd Init Win Bytes,0.02073171005083587
Flow Duration,0.020641608084506217
Fwd IAT Total,0.019783834719458517
Packet Length Max,0.017158448159775973
Fwd IAT Max,0.016796133551908052
Average Packet Size,0.01515987752471991
Fwd IAT Mean,0.014908517203563763
Fwd Packet Length Min,0.01404540099183198
Packet Length Min,0.010752680849805858
Packet Length Variance,0.010339191643587946
Packet Length Std,0.010255746474804522
Total Fwd Packet,0.009535003757492139
Total Length of Fwd Packet,0.00934941517756596
Bwd Header Length,0.00911298968076049
Fwd Packet Length Mean,0.00880341082926845
Fwd IAT Min,0.008610708169271323
Fwd Segment Size Avg,0.008264627283752723
Subflow Fwd Bytes,0.007157699296488008
Flow IAT Std,0.0070396629450264385
Packet Length Mean,0.00660616443717991
Fwd Packet Length Max,0.005564837930658696
ACK Flag Count,0.00456099103738325
Total Bwd packets,0.0037225704933168
Bwd IAT Total,0.0035633377155763575
Bwd IAT Max,0.0030562216952290055
Fwd Act Data Pkts,0.0029183604850110266
Bwd IAT Mean,0.002765784364943353
Idle Std,0.002663230876397326
Fwd IAT Std,0.002640932883006205
Bwd Packet Length Std,0.0024226972194009706
Fwd Packet Length Std,0.0022786710447711737
Bwd IAT Min,0.0022169440081347917
PSH Flag Count,0.002063312225410659
Protocol,0.001983439951061577
Bwd Bulk Rate Avg,0.001574486084308576
Bwd Packet/Bulk Avg,0.0015722132498077357
Down/Up Ratio,0.0013995265448595166
Bwd IAT Std,0.001213581981906194
SYN Flag Count,0.0009072370421920352
